36.8169,33.1299,24.0748,19.4602,0,3,8
17.2357,8.0823,13.6059,14.7989,1,1,0
33.0303,18.5187,23.3065,17.7034,0,6,8
19.1053,15.9924,23.7289,18.596,0,3,8
28.2775,19.7731,16.1851,4.816,0,8,0
28.0954,16.2792,23.3652,18.3029,1,1,0
42.5377,46.1922,9.5663,11.8491,0,1,8
20.1958,25.1195,15.5565,98.9921,1,1,0
30.6014,39.8167,42.4134,83.1061,1,1,0
29.3046,24.3396,63.0085,82.9636,1,1,0
43.0834,22.3475,35.415,25.3325,0,8,9
28.6553,22.912,12.0339,14.0677,1,1,0
25.1475,14.3495,20.2864,10.8076,1,9,0
